化学式,dHmix,dSmix,dGmix,电子数差,原子尺寸差,电子浓度,元素种类,密度,熔点,硬度
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,-4.86,13.46,601.2169546,0.11,4.5,4.34,6,7.71,2316.49,6.41
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,-4.86,13.46,601.2169546,0.11,4.5,4.34,6,7.71,2316.49,6.41
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,-4.86,13.46,601.2169546,0.11,4.5,4.34,6,7.71,2316.49,6.41
Al0.3NbTaTi1.4Zr1.3,-5.040562466,12.82599837,581.4433955,0.10130303,4.754310304,4.395348837,5,8.546797305,2234.844498,6.381734885
Al0.3NbTaTi1.4Zr1.3,-5.040562466,12.82599837,581.4433955,0.10130303,4.754310304,4.395348837,5,8.546797305,2234.844498,6.381734885
Al0.4Hf0.6NbTaTiZr,-6.33,14.5,619.66987,0.12,4.11,4.32,6,9.09,2397.2,5.49
Al0.4Hf0.6NbTaTiZr,-6.33,14.5,619.66987,0.12,4.11,4.32,6,9.09,2397.2,5.49
Al0.4Hf0.6NbTaTiZr,-6.33,14.5,619.66987,0.12,4.11,4.32,6,9.09,2397.2,5.49
Al0.4Hf0.6NbTaTiZr,-6.33,14.5,619.66987,0.12,4.11,4.32,6,9.09,2397.2,5.49
Al0.5CoCrCu0.5FeNiTi0.5,-10.84297521,15.74583048,359.0404941,0.130877521,5.968017454,7.636363636,7,7.124653711,1395.70658,2.423461486
Al0.5CoCrCuFeNi,-1.52,14.7,437.30038,0.11,3.82,8.27,6,7.62,1693,16.36
